Blockchain Company,ICO Size (in millions),Market Capitalization
Repux, $ 4.70 ,
Request Network (REQ), $ 33.17 ,"91,631,480"
Restart Energy Democracy(MWAT), $ 30.00 ,"13,868,119"
Revain, $ 0.70 ,"944,751,950"
Rialto, $ 10.00 ,
Rialto.AI, $ 10.00 ,
RightMesh, $ 30.00 ,"387,154.72"
Ripio Credit Network (RCN), $ 37.43 ,"67,059,844"
Rise, $ 1.10 ,"1,660,645"
Rivetz, $ 13.63 ,"2,377,644"
Rocati Limited,1.1,
RootProject, $ 3.50 ,
RuCoin, $ 1.17 ,
RusGas, $ 2.21 ,
Saifu, $ 13.02 ,"4,313,335.78"
Sapien Network, $ 11.80 ,"4,422,578"
Science Blockchain (SCI), $ 12.27 ,
Scroll Token, $ 1.00 ,
Seal Network, $ 8.16 ,"133,656.00"
Seele, $ 12.13 ,"196,810,764.00"
SelfKey, $ 21.78 ,"54,036,804"
Selfkey Pre-sale, $ 15.84 ,"52,670,383"
Selfllery, $ 0.91 ,
Sense, $ 15.00 ,"14,626,652"
Sentinel Chain (SENC), $ 14.40 ,"560,414"
Sentinel Protocol, $ 4.20 ,"50,217,954"
Seratio Project (SER), $ 8.16 ,
Serenity Financial, $ 4.44 ,
ShareRing,1.55,
Sharpe Capital (SHP), $ 6.73 ,
ShipChain (SHIP), $ 30.00 ,"1,163,491"
Shopin, $ 42.55 ,
Shping (SHPNG), $ 6.70 ,"11,232,663"
Signals, $ 2.14 ,"299,030.30"
SilentNotary, $ 0.12 ,0
SilverCoin, $ 0.21 ,
Simdaq (SMQ), $ 5.00 ,
Simple Token (ST), $ 21.40 ,
SingularDTV, $ 7.50 ,"11,908,898"
SingularityNET, $ 32.85 ,"243,598,080"
Sirin Labs, $ 157.89 ,"8,425,986"
SkinCoin, $ 3.32 ,"748,540"
Skrumble Network, $ 16.47 ,"4,533,094.60"
Skychain, $ 9.82 ,
Slate,20,
Smart Investment Fund Token, $ 1.75 ,"449,441.46"
SmartGold, $ 4.27 ,
Smartlands, $ 1.75 ,"45,796,217"
SmartMesh, $ 15.69 ,"14,423,363"
Snip, $ 4.97 ,
Snovio, $ 2.13 ,"622,379.80"
Social(SCL), $ 5.22 ,"260,405"
Socialmedia.market, $ 8.46 ,
SOFIN,1.31,
Sola, $ 2.23 ,"72,960.86"
Solomon Exchange, $ 0.16 ,
Solve.Care, $ 35.00 ,
Soma, $ 6.05 ,"16,498.75"
SONM, $ 42.00 ,"107,291,528"
SophiaTX, $ 23.47 ,"641,584"
Sp8de (SPX), $ 6.50 ,"476,977.78"
Sparkster,30,"2,212,403"
Spectiv, $ 7.61 ,"52,955.90"
Spectre (SPEC), $ 15.39 ,
Spells of Genesis, $ 0.53 ,
SPiCE VC (SPX), $ 40.00 ,
SportyFi (SPF), $ 5.09 ,
Squeezer, $ 14.81 ,
SRG, $ 3.16 ,
Starbase (STAR), $ 8.92 ,"25,067,101"
Starta, $ 5.00 ,
STK Token, $ 17.00 ,"1,418,735"
Storiqa (STQ), $ 25.00 ,"303,648"
Storiqa 1 (ETH), $ 1.30 ,"305,120"
Storjcoin X, $ 0.42 ,
Storm, $ 30.72 ,"223,384,971"
Stratis, $ 0.60 ,"17,739,071"
Streamity Crowdsale (Phase-1), $ 4.20 ,
StuffGoGo, $ 0.24 ,
Substratum, $ 12.21 ,"2,025,405"
Sumerchain, $ -   ,
SunContract, $ 2.41 ,"3,856,665"
SuperNET, $ 2.50 ,
Suretly, $ 1.68 ,"50,763"
Swarm, $ 0.74 ,"7,872,664"
Swarm Fund, $ 5.37 ,
Swiss Alps Mining,6.02,
SwissBorg (CHSB), $ 51.90 ,"761,993,919"
Switcheo Network (SWH), $ 8.70 ,
SyncFab, $ 10.40 ,"17,526,564.88"
Synereo, $ 4.70 ,
Synexcoin, $ 0.49 ,
Synth, $ 2.00 ,
TaaS, $ 7.57 ,
Talao,2.34,477542
TaTaTu (TTU), $ 575.00 ,"177,954,533.00"
TE-FOOD (TFD), $ 19.10 ,"50,139,550"
Telcoin, $ 25.00 ,"3,263,738,933"
Telegram, $ 850.00 ,
Telegram, $ 850.00 ,
Tesoro, $ 5.00 ,
Tezos, $ 232.00 ,"1,906,039,966"
The Bee Token, $ 15.00 ,"207,614.25"
The DAO, $ 152.00 ,
The Deal Coin,17.64,
The Divi Project (DVIX), $ 3.23 ,"138,024,103"
Thekey.vip, $ 22.00 ,"8,924,843"
Themis Network, $ 12.00 ,"2,013,539"
Theta (THETA), $ 20.00 ,"8,791,579,274"
Thor Token, $ 21.06 ,"793,987,701"
Thrive, $ 26.03 ,"73,262"
Ticko,6.03,
Tierion, $ 25.04 ,"51,660,000.00"
Ties.Network (TIE), $ 8.29 ,
Time New Bank, $ 14.38 ,"13,636,572"
Titanium Blockchain Infrastructure Services (BAR), $ 35.00 ,
Tokenbox (TBX), $ 8.32 ,"354,761"
TokenCard, $ 12.70 ,
Tokenomy (TEN), $ 13.00 ,"30,186,330"
TokenPay, $ 28.68 ,"2,551,484"
TokenPay (TPAY), $ 28.68 ,"2,502,579"
Tokens.net (DTR), $ 15.00 ,
TokenSpeed, $ 0.65 ,
TokenStars, $ 4.90 ,"76,833"
TokenStars TEAM, $ 8.20 ,"82,406"
Tokes, $ 0.25 ,"18,020,184"
TomoCoin, $ 8.60 ,
Trackr, $ 0.29 ,
trade.io, $ 31.17 ,
trade.io Pre-sale, $ 11.29 ,
Tradershub, $ 0.88 ,
Tradingene,1.43,
TraDove, $ 30.00 ,"3,604,680"
TrakInvest (TRAK), $ 33.00 ,"273,556.92"
TravelBlock,25.2,
Traxia Membership Token, $ 15.10 ,"748,600.00"
Trinity (TNC), $ 20.00 ,"1,262,531"
Tripago,8.12,
TrueFlip, $ 4.04 ,"2,654,241"
TrustedHealth, $ 1.25 ,
TTC Protocol, $ 19.11 ,"10,998,859.00"
TV-TWO,8.7,
UBIATAR, $ 12.00 ,
uKit, $ 2.50 ,
Unibright, $ 13.54 ,"170,106,656.67"
UnikoinGold (UKG), $ 31.59 ,"5,601,630.00"
Universa (UTN), $ 28.68 ,"18,750,008"
Universal Labs,19.07,
uooMAG (UMC), $ 20.00 ,
Uptoken (UP), $ 18.93 ,"380,770"
UQUID Eco System (UQC), $ 17.80 ,"892,306,187"
UTRUST, $ 21.00 ,"169,690,097"
Uttoken, $ 30.85 ,"36,179,428"
VALID (VLD), $ 10.73 ,"5,010,000"
vDice, $ 1.65 ,
Verasity,4,"184,889,780.40"
Verify, $ 2.50 ,"539,824.47"
Veritaseum, $ 9.58 ,"1,789,869,488"
Vestarin, $ 2.08 ,
Vezt, $ 1.38 ,"1,539,175.60"
Viberate, $ 10.71 ,"10,727,230"
Viberate (VIB), $ 12.00 ,"10,679,850"
Vice Industry (VIT), $ 14.40 ,
VideoCoin, $ 50.00 ,"89,774,275"
Viewly, $ 12.00 ,"2,270,502.80"
VinChain, $ 6.20 ,"3,946,779"
Virtual Accelerator, $ 0.65 ,
Virtue Poker, $ 18.55 ,"183,120,543"
VIRUS,20,
VISO,1,
VLB Token, $ 3.51 ,
VLB Token, $ 1.99 ,
VOISE, $ 0.41 ,"2,129.99"
VVToken,6.1,
WaBi, $ 11.50 ,"23,712,180"
Wagerr, $ 9.92 ,"9,869,808"
Wala, $ 1.20 ,
WallChain,1,
Wanchain, $ 35.99 ,"179,307,413"
Waves, $ 16.00 ,"1,662,975,194"
WAX (WAX), $ 45.36 ,"601,292,326"
Wealth Migrate, $ 3.37 ,
WePower, $ 40.00 ,"14,325,880.61"
WePower Pre-sale, $ 3.00 ,"15,552,107"
WeTrust, $ 4.66 ,"791,661"
Winding Tree (LIF), $ 14.00 ,"6,209,367.64"
Wings, $ 2.07 ,"4,604,423"
Wishfinance (WISH), $ 0.92 ,
Wolk Pre Sale, $ 11.77 ,
World Wi-Fi, $ 25.00 ,
WorldWide Anonymous Messaging, $ 0.17 ,
Xaurum, $ 0.85 ,"3,041,368"
XchangeRate, $ 10.63 ,
XPlay, $ 10.91 ,
Xriba,12.6,"4,541,350.00"
XTrade (XTRD), $ 26.00 ,
XYO Network, $ 12.00 ,"87,948,682"
YGGDRASH (YEED), $ 40.00 ,"3,748,813"
Zap Store, $ 2.83 ,"42,774,254"
Zebi, $ 8.56 ,"4,318,081"
Zeepin (ZPT), $ 60.84 ,"1,032,318"
Zen Protocol, $ 46.37 ,"1,239,416"
Zenome, $ 0.66 ,
Ziggurat Token, $ 10.00 ,
Zilliqa (ZIL), $ 22.00 ,"2,630,852,650"
Zipper, $ 3.20 ,"25,251,000.00"
ZPER, $ 23.21 ,"1,415,799"
Zrcoin, $ 7.01 ,"892,056"
